Order Number,Pinyin,Correct_Character,Frequency,Definition,Usage,Part_of_Speech,Choice_A,Choice_B,Choice_C,Choice_D,Choice_E,Correct_Choice
1516,fu3,腑,2,"Internal organs of the body, specifically referring to the hollow organs in traditional Chinese medicine (such as stomach, intestines, bladder, and gallbladder).",Most commonly seen in the set phrase 五脏六腑 (wǔ zàng liù fǔ) meaning 'all the internal organs',noun,洞,择,追,腑,谁,D
1517,wan4,腕,2,Wrist; the joint connecting the hand to the forearm.,Commonly used in words like 手腕 (shǒuwàn - wrist) and 腕表 (wànbiǎo - wristwatch),noun,骨,非,腕,武,顺,C
1518,teng2,腾,2,"To rise, soar, or jump up; to make room or clear space for something","Common in words like 奔腾 (galloping/surging), 腾空 (to soar into the air), and 腾出 (to make room/clear out)",verb,恐,腾,士,烟,凑,B
1519,tang2,膛,2,"The interior cavity or chamber of something, especially the barrel of a gun or the chest cavity of the body.",Commonly seen in compounds like 枪膛 (gun barrel) and 胸膛 (chest),noun,膛,咯,耳,碗,蛋,A
1520,jing1,茎,2,"The stem or stalk of a plant, the main structural part that supports leaves and flowers.","Commonly used in botanical contexts, such as 茎叶 (stems and leaves) or 花茎 (flower stem)",noun,啪,缘,茎,屁,息,C
1521,rong1,茸,2,"Soft, fine hair or down; describes something fluffy, fuzzy, or covered with fine hairs like velvet or new plant growth.",Often seen in compounds like 茸毛 (fine hair/down) or 鹿茸 (deer antler velvet),noun/adjective,悬,著,传,爬,茸,E
1522,ying2,荧,2,"Refers to a faint, shimmering light or glow, like fluorescent light or the glimmer of fireflies.","Most commonly seen in compounds like 荧光 (fluorescent light) and 荧屏 (screen, monitor)",noun/adjective,骑,跪,旅,荧,表,D
1523,li4,莉,2,"Jasmine (the flower); primarily used as a component in names, especially female given names","Most commonly seen in 茉莉 (mòlì, jasmine) and personal names like 莉莉 (Lìlì)",noun,环,始,莉,寂,颊,C
1524,meng2,蒙,2,"To cover, deceive, or suffer; also means ignorant or uncivilized. Can also refer to Mongolia or receiving (a favor).","Common in words like 启蒙 (enlighten), 蒙骗 (deceive), 内蒙古 (Inner Mongolia)",verb/adjective,临,蒙,饭,溜,脱,B
1525,peng2,蓬,2,"A type of wild grass or weed; also describes something disheveled, messy, or tangled in appearance.","Commonly seen in words like 蓬松 (fluffy, puffy) and 蓬勃 (vigorous, flourishing)",noun/adjective,孩,蓬,贾,至,军,B
1526,mie4,蔑,2,"To despise, scorn, or look down upon someone or something with contempt.","Most commonly seen in the compound word 蔑视 (mièshì, to despise/scorn)",verb,乔,蔑,历,钱,伙,B
1527,xu1,虚,2,"Empty, void, or unreal; also means weak or in poor health. Often describes something lacking substance or being false/modest.","Common in words like 虚伪 (hypocritical), 虚弱 (weak), 谦虚 (modest)",adjective,圆,充,语,虚,哆,D
1528,mi4,蜜,2,"Honey; a sweet, thick liquid produced by bees. Also used to describe something sweet or intimate.","Common in words like 蜂蜜 (fēngmì, honey) and 甜蜜 (tiánmì, sweet/happy)",noun,蜜,假,泣,央,吟,A
1529,ying2,蝇,2,Fly (the insect). A common pest insect often found around food and waste.,"Most commonly seen in the compound word 苍蝇 (cāngying, housefly)",noun,屉,埚,臂,慢,蝇,E
1530,xiu4,袖,2,"Sleeve of a garment, the part of clothing that covers the arm.","Commonly seen in words like 袖子 (sleeve), 长袖 (long sleeves), 短袖 (short sleeves)",noun,促,席,彼,袖,达,D
1531,lie4,裂,2,"To split, crack, or break apart into pieces. Describes something breaking open or tearing along a line.","Common in words like 分裂 (split/divide), 破裂 (rupture), and 裂缝 (crack/fissure)",verb,裂,傻,左,懒,战,A
1532,fu4,覆,2,"To cover, overturn, or capsize; also means to repeat or reply (in formal contexts).","Common in words like 覆盖 (cover), 颠覆 (overturn), and 答覆 (reply)",verb,弟,旧,捏,某,覆,E
1533,zhan1,詹,2,A Chinese surname; also means to talk excessively or chatter in classical Chinese.,"Most commonly encountered as a family name, as in 詹姆斯 (Zhānmǔsī, James)",proper noun/verb,杂,哝,贾,洋,詹,E
1534,ji4,计,2,"To count, calculate, or compute; also means a plan or strategy.","Common in words like 计划 (plan), 计算 (calculate), and 统计 (statistics)",verb/noun,顾,瞥,剪,计,泥,D
1535,cheng2,诚,2,"Sincere, honest, or truthful; refers to being genuine and earnest in one's words and actions.","Commonly appears in words like 诚实 (honest), 真诚 (sincere), and 诚意 (sincerity)",adjective,山,诚,芒,煞,算,B
1536,liang4,谅,2,"To forgive, excuse, or understand someone's situation; to show consideration or tolerance.",Commonly seen in formal expressions like 谅解 (understanding/forgiveness) and 原谅 (to forgive),verb,祸,谅,枝,扶,蜘,B
1537,he4,贺,2,To congratulate or celebrate; to express good wishes for happy occasions or achievements.,"Commonly used in phrases like 祝贺 (congratulate), 贺卡 (greeting card), and 庆贺 (celebrate)",verb,闻,翅,贺,品,绕,C
1538,chao1,超,2,"To exceed, surpass, or go beyond a limit; also used as a prefix meaning 'super' or 'ultra'.","Common in words like 超市 (supermarket), 超过 (to exceed), and colloquially as 超好 (super good)",verb/prefix,烈,价,超,茸,阻,C
1539,tang4,趟,2,"A measure word for trips, journeys, or round trips; also used to count occurrences of going somewhere and returning.",Common in phrases like 走一趟 (make a trip) or 去一趟 (go there once),measure word,叉,趟,覆,右,凝,B
1540,die1,跌,2,"To fall down or tumble; to drop or decline (in price, value, or level).",Common in contexts like 跌倒 (to fall down) or 股票跌了 (stocks fell),verb,踩,吹,跌,忠,蛋,C
1541,jiao1,跤,2,A fall or stumble; refers to losing one's balance and falling down,Most commonly used in the phrase 摔跤 (shuāi jiāo) meaning 'to fall down' or 'wrestling',noun,锐,跤,救,坪,擦,B
1542,ta4,踏,2,"To step on, tread on, or walk on something with one's foot. Can also mean to go through or experience something.","Common in words like 踏步 (march in place), 踏实 (steady/reliable), and 踏青 (spring outing)",verb,躲,踏,痕,香,忠,B
1543,cai3,踩,2,"To step on, tread on, or trample something with one's foot. Can refer to both accidental stepping and deliberate trampling.",Common in phrases like 踩到 (step on accidentally) or 踩脚 (step on someone's foot),verb,慌,寒,蜂,仓,踩,E
1544,deng1,蹬,2,"To step on, kick, or pedal with the foot or feet. Can also mean to push against something with one's legs.",Common in contexts like 蹬自行车 (to pedal a bicycle) or 蹬腿 (to kick one's legs),verb,蹬,挡,狠,乌,倍,A
1545,jiao4,较,2,"An adverb meaning 'relatively' or 'comparatively', used to indicate a moderate degree of comparison. Often appears in the pattern 较 + adjective to mean 'rather' or 'quite'.","Common in written Chinese, as in 较好 (relatively good) or 较大 (comparatively large)",adverb,噗,枕,凛,际,较,E
1546,bei4,辈,2,Generation or lifetime; a measure word for groups of people of the same age or status level. Also refers to seniority ranking in family or social relationships.,"Common in words like 一辈子 (whole lifetime), 长辈 (elder/senior generation), 晚辈 (younger generation)",noun/measure word,引,辈,委,勋,湿,B
1547,la4,辣,2,"Spicy or hot (in taste), describing food that has a burning sensation like chili peppers. Can also mean harsh or ruthless when describing a person's character or methods.",Commonly used to describe Sichuan cuisine (四川菜很辣) or to ask if food is spicy (辣不辣?),adjective,王,百,映,辣,咐,D
1548,wei2,违,2,"To violate, disobey, or go against rules, laws, or principles; to be contrary to something.","Commonly seen in words like 违法 (break the law), 违反 (violate), and 违背 (go against)",verb,土,绽,犹,违,万,D
1549,guang4,逛,2,"To stroll, browse, or wander around leisurely, especially for window shopping or sightseeing without a specific purpose.",Commonly used in phrases like 逛街 (go shopping/stroll the streets) and 逛商场 (browse the mall),verb,组,荡,壮,庞,逛,E
1550,zao4,造,2,"To make, build, or create something; to manufacture or construct.","Common in words like 制造 (manufacture), 创造 (create), and 建造 (construct)",verb,详,蜡,胸,宠,造,E
1551,bi1,逼,2,"To force, compel, or pressure someone to do something against their will.",Common in expressions like 逼迫 (to coerce) and 压逼 (to pressure). Can also mean 'to approach closely' or 'urgent',verb,铺,兜,遗,逼,律,D
1552,zhe1,遮,2,"To cover, block, or hide something from view; to shield or obstruct.","Common in words like 遮住 (to cover up), 遮挡 (to block), and 遮阳 (to shade from sun)",verb,惜,遮,仆,亚,径,B
1553,bi4,避,2,"To avoid, evade, or keep away from something undesirable or dangerous.","Common in words like 避免 (avoid), 逃避 (escape from), 躲避 (hide from)",verb,避,印,抑,区,甚,A
1554,rui4,锐,2,"Sharp, keen, or acute; describes something with a pointed edge or penetrating quality. Can refer to physical sharpness or metaphorical sharpness like keen insight or intense energy.","Common in words like 锐利 (sharp/keen), 敏锐 (acute/perceptive), and 锐气 (vigor/drive)",adjective,闻,嗅,喳,捷,锐,E
1555,nao4,闹,2,"To make noise, cause a disturbance, or be noisy; can also mean to suffer from or experience (an illness or problem).","Common in words like 热闹 (lively/bustling), 闹钟 (alarm clock), and phrases like 闹肚子 (have an upset stomach)",verb,局,闹,改,嗡,夕,B
1556,fu4,附,2,"To attach, add, or append something to something else; to be close to or near.","Commonly seen in words like 附近 (nearby), 附加 (additional), and 附件 (attachment)",verb,悲,尘,柠,附,抚,D
1557,lou4,陋,2,"Crude, shabby, or inferior in quality; also refers to something that is narrow-minded or lacking in refinement.","Commonly seen in words like 简陋 (simple and crude), 陋习 (bad habit), and 丑陋 (ugly)",adjective,捏,殊,痕,惠,陋,E
1558,pei2,陪,2,To accompany or keep someone company; to be with someone during an activity or period of time.,"Common in phrases like 陪我 (accompany me), 陪伴 (to accompany), 陪同 (to escort)",verb,棚,洲,陪,贞,拨,C
1559,yu3,雨,2,Rain; precipitation that falls from clouds as water droplets.,Used in weather expressions like 下雨 (xià yǔ - to rain) and compound words related to rain,noun,爪,映,雨,漉,咽,C
1560,xue3,雪,2,Snow; frozen precipitation that falls as white flakes from the sky.,Common in weather expressions like 下雪 (to snow) and 雪天 (snowy day),noun,弥,油,燎,雪,粪,D
1561,ye4,页,2,"A page, as in a book, document, or website. It refers to a single sheet or side of paper in printed or digital materials.","Common in words like 网页 (webpage), 页面 (page), 首页 (homepage)",noun,页,琢,炮,油,莉,A
1562,piao1,飘,2,"To float, drift, or flutter in the air, typically describing light objects moved by wind or air currents.","Commonly used with leaves, snow, flags, or hair, as in 雪花飘 (snowflakes drift) or 头发飘 (hair flutters)",verb,粉,番,飘,睹,跌,C
1563,shi4,饰,2,"To decorate or adorn; also refers to ornaments, accessories, or decorations themselves.","Common in words like 装饰 (decoration), 首饰 (jewelry), and 饰演 (to play a role/act as)",verb/noun,社,袭,稽,陋,饰,E
1564,bing3,饼,2,"A flat, round cake or pastry; any food item that is flat and round in shape like pancakes, cookies, or flatbreads.","Common in words like 月饼 (mooncake), 煎饼 (pancake), 饼干 (cookie/biscuit)",noun,绊,纷,饼,鲜,亏,C
1565,xiang1,香,2,"Fragrant, aromatic, or sweet-smelling; also describes food that smells or tastes delicious.","Common in expressions like 香水 (perfume), 很香 (smells good), or 吃得很香 (eating with great appetite)",adjective,香,兆,职,肉,凳,A
1566,ku1,骷,2,"A character component meaning skeleton or skull, rarely used alone but appears in compound words related to bones and death.",Most commonly seen in 骷髅 (kūlóu) meaning skeleton or skull,noun,嘎,骷,胧,著,勃,B
1567,lou2,髅,2,"Skull or skeleton, specifically referring to the bones of the head after death.",Most commonly seen in the compound word 骷髅 (kūlóu) meaning 'skeleton' or 'skull',noun,讽,嘲,幕,髅,荣,D
1568,yu2,鱼,2,Fish; refers to aquatic animals with fins and gills that live in water.,Used both as a standalone noun and in compound words like 鱼肉 (fish meat) or 金鱼 (goldfish),noun,迅,鱼,挑,蝙,壮,B
1569,lin2,鳞,2,"Scale, as in the small overlapping plates that cover the skin of fish and reptiles.",Commonly seen in words like 鱼鳞 (fish scales) and 鳞片 (scale/flake),noun,零,诺,鳞,康,残,C
1570,lu4,鹿,2,Deer; a hoofed mammal known for its antlers and graceful appearance.,"Often appears in compound words like 麋鹿 (elk) or 驯鹿 (reindeer), and in place names",noun,鸟,惨,跄,祸,鹿,E
1571,yan3,鼹,2,A mole (the small burrowing mammal with tiny eyes that lives underground).,"Almost always used in the compound word 鼹鼠 (yǎnshǔ, mole)",noun,辛,捉,仅,荧,鼹,E
1572,feng1,丰,1,"Abundant, plentiful, or rich; often describes a good harvest, wealth, or fullness.",Common in words like 丰富 (fēngfù - abundant/rich) and 丰收 (fēngshōu - bumper harvest),adjective,斜,较,丰,俯,铁,C
1573,chuan4,串,1,To string together or connect in a series; a string or cluster of things linked together (like beads on a string or a bunch of grapes),"Common in words like 串烧 (skewered food), 一串钥匙 (a bunch of keys), or 串门 (to visit neighbors)",verb/measure word,隶,凭,橱,串,鱼,D
1574,kui1,亏,1,"To suffer a loss or deficit, especially in business or financial contexts; to be deficient or lacking.","Common in expressions like 亏本 (lose money in business) or 多亏 (thanks to, luckily)",verb,叨,亏,兆,鬈,浪,B
